ground.truth,label
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
anomaly,2
anomaly,2
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
nominal,1
anomaly,2
nominal,1
nominal,1
